"一般","470","45.3908","652167"
"比较","396","625.174","652167"
"容易","387","1180.24","652167"
"一切都","72","49.447","652167"
"娜娜","556","630.418","652167"
"回来","775","31.2295","652167"
"效果","291","455.4","652167"
"我们","3169","30.0613","652167"
"大概","67","166.043","652167"
"十余","53","56.2981","652167"
"其他","1268","37.2926","652167"
"其他势力","32","307.693","652167"
"势力","706","156.733","652167"
"阻挡","52","825.439","652167"
"别人","816","41.9224","652167"
"宣传","12","57.6372","652167"
"今天","344","117.453","652167"
"继续","511","1762.83","652167"
"完成","281","64.8874","652167"
"地狱三头犬","59","589.522","652167"
